Channel,Constants,old,new,difference,in
19,ADC_U_REGULATOR_GAIN,3047.0,3047.0,0,%
19,ADC_U_REGULATOR_OFFSET,-524.0,-522.0,-2.0,abs
19,ADC_I_MON_GAIN,-294514.0,-294792.0,-0.09,%
19,ADC_I_MON_OFFSET,169.0,149.0,20.0,abs
19,DAC_CURRENT_GAIN,663.0,664.0,-0.15,%
19,DAC_CURRENT_OFFSET,-11.0,-15.0,4.0,abs
20,DAC_VOLTAGE_GAIN,55712.0,55712.0,0,%
20,DAC_VOLTAGE_OFFSET,945.0,940.0,5.0,abs
20,ADC_U_LOAD_GAIN,1481.0,1481.0,0,%
20,ADC_U_LOAD_OFFSET,-588.0,-548.0,-40.0,abs
20,ADC_U_REGULATOR_GAIN,1481.0,1481.0,0,%
20,ADC_U_REGULATOR_OFFSET,-676.0,-672.0,-4.0,abs
20,ADC_I_MON_GAIN,-294975.0,-295055.0,-0.03,%
20,ADC_I_MON_OFFSET,670.0,614.0,56.0,abs
20,DAC_CURRENT_GAIN,-661.0,-664.0,-0.45,%
20,DAC_CURRENT_OFFSET,-34.0,2.0,-36.0,abs
21,DAC_VOLTAGE_GAIN,-43046.0,-43044.0,0.0,%
21,DAC_VOLTAGE_OFFSET,-658.0,-679.0,21.0,abs
21,ADC_U_LOAD_GAIN,2557.0,2557.0,0,%
21,ADC_U_LOAD_OFFSET,-418.0,-409.0,-9.0,abs
21,ADC_U_REGULATOR_GAIN,2556.0,2556.0,0,%
21,ADC_U_REGULATOR_OFFSET,-596.0,-601.0,5.0,abs
21,ADC_I_MON_GAIN,-294808.0,-294670.0,0.05,%
21,ADC_I_MON_OFFSET,-695.0,-726.0,31.0,abs
21,DAC_CURRENT_GAIN,663.0,663.0,0,%
21,DAC_CURRENT_OFFSET,92.0,90.0,2.0,abs
22,DAC_VOLTAGE_GAIN,-43048.0,-43044.0,0.01,%
22,DAC_VOLTAGE_OFFSET,-669.0,-713.0,44.0,abs
22,ADC_U_LOAD_GAIN,2557.0,2557.0,0,%
22,ADC_U_LOAD_OFFSET,-533.0,-520.0,-13.0,abs
22,ADC_U_REGULATOR_GAIN,2556.0,2556.0,0,%
22,ADC_U_REGULATOR_OFFSET,-521.0,-567.0,46.0,abs
22,ADC_I_MON_GAIN,-295487.0,-295434.0,0.02,%
22,ADC_I_MON_OFFSET,-797.0,-963.0,166.0,abs
22,DAC_CURRENT_GAIN,662.0,662.0,0,%
22,DAC_CURRENT_OFFSET,26.0,23.0,3.0,abs
23,DAC_VOLTAGE_GAIN,55714.0,55714.0,0,%
23,DAC_VOLTAGE_OFFSET,1042.0,1041.0,1.0,abs
23,ADC_U_LOAD_GAIN,1481.0,1481.0,0,%
23,ADC_U_LOAD_OFFSET,-582.0,-579.0,-3.0,abs
23,ADC_U_REGULATOR_GAIN,1481.0,1481.0,0,%
23,ADC_U_REGULATOR_OFFSET,-551.0,-534.0,-17.0,abs
23,ADC_I_MON_GAIN,-295142.0,-295329.0,-0.06,%
23,ADC_I_MON_OFFSET,1053.0,1032.0,21.0,abs
23,DAC_CURRENT_GAIN,-664.0,-667.0,-0.45,%
23,DAC_CURRENT_OFFSET,-54.0,-13.0,-41.0,abs
